File_Name	Sample_Name
RES_DBS_20180312_001	C71.1
RES_DBS_20180312_002	C71.1
RES_DBS_20180312_003	C71.1
RES_DBS_20180312_004	C81.1
RES_DBS_20180312_005	C81.1
RES_DBS_20180312_006	C81.1
RES_DBS_20180312_007	C97.1
RES_DBS_20180312_008	C97.1
RES_DBS_20180312_009	C97.1
RES_DBS_20180312_010	C109.1
RES_DBS_20180312_011	C109.1
RES_DBS_20180312_012	C109.1
RES_DBS_20180312_016	P163.2
RES_DBS_20180312_017	P163.2
RES_DBS_20180312_018	P163.2
RES_DBS_20180312_019	P162.2
RES_DBS_20180312_020	P162.2
RES_DBS_20180312_021	P162.2
RES_DBS_20180312_022	P161.2
RES_DBS_20180312_023	P161.2
RES_DBS_20180312_024	P161.2
RES_DBS_20180312_028	C84.1
RES_DBS_20180312_029	C84.1
RES_DBS_20180312_030	C84.1
RES_DBS_20180312_031	P165.3
RES_DBS_20180312_032	P165.3
RES_DBS_20180312_033	P165.3
RES_DBS_20180312_034	C98.1
RES_DBS_20180312_035	C98.1
RES_DBS_20180312_036	C98.1
RES_DBS_20180312_040	C110.1
RES_DBS_20180312_041	C110.1
RES_DBS_20180312_042	C110.1
RES_DBS_20180312_043	C91.1
RES_DBS_20180312_044	C91.1
RES_DBS_20180312_045	C91.1
RES_DBS_20180312_049	P160.2
RES_DBS_20180312_050	P160.2
RES_DBS_20180312_051	P160.2
RES_DBS_20180312_055	C77.1
RES_DBS_20180312_056	C77.1
RES_DBS_20180312_057	C77.1
RES_DBS_20180312_058	P162.1
RES_DBS_20180312_059	P162.1
RES_DBS_20180312_060	P162.1
RES_DBS_20180312_064	C107.1
RES_DBS_20180312_065	C107.1
RES_DBS_20180312_066	C107.1
RES_DBS_20180312_073	C85.1
RES_DBS_20180312_074	C85.1
RES_DBS_20180312_075	C85.1
RES_DBS_20180312_085	C73.1
RES_DBS_20180312_086	C73.1
RES_DBS_20180312_087	C73.1
RES_DBS_20180312_088	P158.1
RES_DBS_20180312_089	P158.1
RES_DBS_20180312_090	P158.1
RES_DBS_20180312_091	P166.1
RES_DBS_20180312_092	P166.1
RES_DBS_20180312_093	P166.1
RES_DBS_20180312_094	P168.2
RES_DBS_20180312_095	P168.2
RES_DBS_20180312_096	P168.2
RES_DBS_20180312_097	C69.1
RES_DBS_20180312_098	C69.1
RES_DBS_20180312_099	C69.1
RES_DBS_20180312_0100	P161.1
RES_DBS_20180312_0101	P161.1
RES_DBS_20180312_0102	P161.1
RES_DBS_20180312_0103	C101.1
RES_DBS_20180312_0104	C101.1
RES_DBS_20180312_0105	C101.1
RES_DBS_20180312_0106	C74.1
RES_DBS_20180312_0107	C74.1
RES_DBS_20180312_0108	C74.1
RES_DBS_20180312_0109	C76.1
RES_DBS_20180312_0110	C76.1
RES_DBS_20180312_0111	C76.1
RES_DBS_20180312_0115	C105.1
RES_DBS_20180312_0116	C105.1
RES_DBS_20180312_0117	C105.1
RES_DBS_20180312_0118	C119.1
RES_DBS_20180312_0119	C119.1
RES_DBS_20180312_0120	C119.1
RES_DBS_20180312_0124	C79.1
RES_DBS_20180312_0125	C79.1
RES_DBS_20180312_0126	C79.1
RES_DBS_20180312_0127	C95.1
RES_DBS_20180312_0128	C95.1
RES_DBS_20180312_0129	C95.1
RES_DBS_20180312_0130	C112.1
RES_DBS_20180312_0131	C112.1
RES_DBS_20180312_0132	C112.1
RES_DBS_20180312_0139	C104.1
RES_DBS_20180312_0140	C104.1
RES_DBS_20180312_0141	C104.1
RES_DBS_20180312_0142	P165.1
RES_DBS_20180312_0143	P165.1
RES_DBS_20180312_0144	P165.1
RES_DBS_20180312_0151	P163.1
RES_DBS_20180312_0152	P163.1
RES_DBS_20180312_0153	P163.1
RES_DBS_20180312_0154	C99.1
RES_DBS_20180312_0155	C99.1
RES_DBS_20180312_0156	C99.1
RES_DBS_20180312_0163	C115.1
RES_DBS_20180312_0164	C115.1
RES_DBS_20180312_0165	C115.1
RES_DBS_20180312_0166	C67.1
RES_DBS_20180312_0167	C67.1
RES_DBS_20180312_0168	C67.1
RES_DBS_20180312_0169	C86.1
RES_DBS_20180312_0170	C86.1
RES_DBS_20180312_0171	C86.1
RES_DBS_20180312_0172	P159.1
RES_DBS_20180312_0173	P159.1
RES_DBS_20180312_0174	P159.1
RES_DBS_20180312_0175	C116.1
RES_DBS_20180312_0176	C116.1
RES_DBS_20180312_0177	C116.1
RES_DBS_20180312_0178	P162.3
RES_DBS_20180312_0179	P162.3
RES_DBS_20180312_0180	P162.3
RES_DBS_20180312_0193	P164.1
RES_DBS_20180312_0194	P164.1
