File_Name	Sample_Name
RES_DBS_20180716_01	C70.1
RES_DBS_20180716_02	C70.1
RES_DBS_20180716_03	C70.1
RES_DBS_20180716_04	P135.1
RES_DBS_20180716_05	P135.1
RES_DBS_20180716_06	P135.1
RES_DBS_20180716_07	P164.1
RES_DBS_20180716_08	P164.1
RES_DBS_20180716_09	P164.1
RES_DBS_20180716_10	P148.1
RES_DBS_20180716_11	P148.1
RES_DBS_20180716_12	P148.1
RES_DBS_20180716_16	P177.1
RES_DBS_20180716_17	P177.1
RES_DBS_20180716_18	P177.1
RES_DBS_20180716_19	C78.1
RES_DBS_20180716_20	C78.1
RES_DBS_20180716_21	C78.1
RES_DBS_20180716_22	P128.1
RES_DBS_20180716_23	P128.1
RES_DBS_20180716_24	P128.1
RES_DBS_20180716_25	P1002.1
RES_DBS_20180716_26	P1002.1
RES_DBS_20180716_27	P1002.1
RES_DBS_20180716_28	C90.1
RES_DBS_20180716_29	C90.1
RES_DBS_20180716_30	C90.1
RES_DBS_20180716_31	P150.1
RES_DBS_20180716_32	P150.1
RES_DBS_20180716_33	P150.1
RES_DBS_20180716_34	P146.1
RES_DBS_20180716_35	P146.1
RES_DBS_20180716_36	P146.1
RES_DBS_20180716_37	P169.1
RES_DBS_20180716_38	P169.1
RES_DBS_20180716_39	P169.1
RES_DBS_20180716_43	P153.1
RES_DBS_20180716_44	P153.1
RES_DBS_20180716_45	P153.1
RES_DBS_20180716_46	C84.1
RES_DBS_20180716_47	C84.1
RES_DBS_20180716_48	C84.1
RES_DBS_20180716_49	C87.1
RES_DBS_20180716_50	C87.1
RES_DBS_20180716_51	C87.1
RES_DBS_20180716_52	P139.1
RES_DBS_20180716_53	P139.1
RES_DBS_20180716_54	P139.1
RES_DBS_20180716_55	P170.1
RES_DBS_20180716_56	P170.1
RES_DBS_20180716_57	P170.1
RES_DBS_20180716_58	P1004.1
RES_DBS_20180716_59	P1004.1
RES_DBS_20180716_60	P1004.1
RES_DBS_20180716_61	P179.1
RES_DBS_20180716_62	P179.1
RES_DBS_20180716_63	P179.1
RES_DBS_20180716_64	P140.1
RES_DBS_20180716_65	P140.1
RES_DBS_20180716_66	P140.1
RES_DBS_20180716_70	P144.1
RES_DBS_20180716_71	P144.1
RES_DBS_20180716_72	P144.1
RES_DBS_20180716_73	C94.1
RES_DBS_20180716_74	C94.1
RES_DBS_20180716_75	C94.1
RES_DBS_20180716_76	C115.1
RES_DBS_20180716_77	C115.1
RES_DBS_20180716_78	C115.1
RES_DBS_20180716_79	P138.1
RES_DBS_20180716_80	P138.1
RES_DBS_20180716_81	P138.1
RES_DBS_20180716_82	P1001.1
RES_DBS_20180716_83	P1001.1
RES_DBS_20180716_84	P1001.1
RES_DBS_20180716_85	P149.1
RES_DBS_20180716_86	P149.1
RES_DBS_20180716_87	P149.1
RES_DBS_20180716_88	C67.1
RES_DBS_20180716_89	C67.1
RES_DBS_20180716_90	C67.1
RES_DBS_20180716_91	P171.1
RES_DBS_20180716_92	P171.1
RES_DBS_20180716_93	P171.1
RES_DBS_20180716_94	P181.1
RES_DBS_20180716_95	P181.1
RES_DBS_20180716_96	P181.1
RES_DBS_20180716_97	P151.1
RES_DBS_20180716_98	P151.1
RES_DBS_20180716_99	P151.1
RES_DBS_20180716_100	C119.1
RES_DBS_20180716_101	C119.1
RES_DBS_20180716_102	C119.1
RES_DBS_20180716_103	P157.1
RES_DBS_20180716_104	P157.1
RES_DBS_20180716_105	P157.1
RES_DBS_20180716_106	C108.1
RES_DBS_20180716_107	C108.1
RES_DBS_20180716_108	C108.1
RES_DBS_20180716_109	C106.1
RES_DBS_20180716_110	C106.1
RES_DBS_20180716_111	C106.1
RES_DBS_20180716_112	P159.1
RES_DBS_20180716_113	P159.1
RES_DBS_20180716_114	P159.1
RES_DBS_20180716_115	P129.1
RES_DBS_20180716_116	P129.1
RES_DBS_20180716_117	P129.1
RES_DBS_20180716_118	P183.1
RES_DBS_20180716_119	P183.1
RES_DBS_20180716_120	P183.1
RES_DBS_20180716_121	P156.1
RES_DBS_20180716_122	P156.1
RES_DBS_20180716_123	P156.1
RES_DBS_20180716_127	P186.1
RES_DBS_20180716_128	P186.1
RES_DBS_20180716_129	P186.1
RES_DBS_20180716_136	P168.1
RES_DBS_20180716_137	P168.1
RES_DBS_20180716_138	P168.1
RES_DBS_20180716_139	P161.1
RES_DBS_20180716_140	P161.1
RES_DBS_20180716_141	P161.1
RES_DBS_20180716_142	C72.1
RES_DBS_20180716_143	C72.1
RES_DBS_20180716_144	C72.1
RES_DBS_20180716_145	P162.1
RES_DBS_20180716_146	P162.1
RES_DBS_20180716_147	P162.1
RES_DBS_20180716_148	C95.1
RES_DBS_20180716_149	C95.1
RES_DBS_20180716_150	C95.1
RES_DBS_20180716_151	P141.1
RES_DBS_20180716_152	P141.1
RES_DBS_20180716_153	P141.1
RES_DBS_20180716_154	C66.1
RES_DBS_20180716_155	C66.1
RES_DBS_20180716_156	C66.1
RES_DBS_20180716_157	C92.1
RES_DBS_20180716_158	C92.1
RES_DBS_20180716_159	C92.1
RES_DBS_20180716_160	C113.1
RES_DBS_20180716_161	C113.1
RES_DBS_20180716_162	C113.1
RES_DBS_20180716_163	C62.1
RES_DBS_20180716_164	C62.1
RES_DBS_20180716_165	C62.1
RES_DBS_20180716_166	P165.1
RES_DBS_20180716_167	P165.1
RES_DBS_20180716_168	P165.1
RES_DBS_20180716_169	C86.1
RES_DBS_20180716_170	C86.1
RES_DBS_20180716_171	C86.1
RES_DBS_20180716_172	P182.1
RES_DBS_20180716_173	P182.1
RES_DBS_20180716_174	P182.1
RES_DBS_20180716_175	P145.1
RES_DBS_20180716_176	P145.1
RES_DBS_20180716_177	P145.1
RES_DBS_20180716_178	C100.1
RES_DBS_20180716_179	C100.1
RES_DBS_20180716_180	C100.1
RES_DBS_20180716_181	P152.1
RES_DBS_20180716_182	P152.1
RES_DBS_20180716_183	P152.1
RES_DBS_20180716_184	C85.1
RES_DBS_20180716_185	C85.1
RES_DBS_20180716_186	C85.1
RES_DBS_20180716_187	P163.1
RES_DBS_20180716_188	P163.1
RES_DBS_20180716_189	P163.1
RES_DBS_20180716_190	P147.1
RES_DBS_20180716_191	P147.1
RES_DBS_20180716_192	P147.1
RES_DBS_20180716_193	P160.1
RES_DBS_20180716_194	P160.1
RES_DBS_20180716_195	P160.1
RES_DBS_20180716_199	P176.1
RES_DBS_20180716_200	P176.1
RES_DBS_20180716_201	P176.1
RES_DBS_20180716_202	C91.1
RES_DBS_20180716_203	C91.1
RES_DBS_20180716_204	C91.1
RES_DBS_20180716_205	P1005.1
RES_DBS_20180716_206	P1005.1
RES_DBS_20180716_207	P1005.1
RES_DBS_20180716_211	C71.1
RES_DBS_20180716_212	C71.1
RES_DBS_20180716_213	C71.1
RES_DBS_20180716_214	P184.1
RES_DBS_20180716_215	P184.1
RES_DBS_20180716_216	P184.1
RES_DBS_20180716_223	P1003.1
RES_DBS_20180716_224	P1003.1
RES_DBS_20180716_225	P1003.1
RES_DBS_20180716_226	C105.1
RES_DBS_20180716_227	C105.1
RES_DBS_20180716_228	C105.1
RES_DBS_20180716_232	P155.1
RES_DBS_20180716_233	P155.1
RES_DBS_20180716_234	P155.1
RES_DBS_20180716_235	C110.1
RES_DBS_20180716_236	C110.1
RES_DBS_20180716_237	C110.1
RES_DBS_20180716_238	P131.1
RES_DBS_20180716_239	P131.1
RES_DBS_20180716_240	P131.1
RES_DBS_20180716_241	P136.1
RES_DBS_20180716_242	P136.1
RES_DBS_20180716_243	P136.1
RES_DBS_20180716_250	P134.1
RES_DBS_20180716_251	P134.1
RES_DBS_20180716_252	P134.1
RES_DBS_20180716_256	P185.1
RES_DBS_20180716_257	P185.1
RES_DBS_20180716_258	P185.1
RES_DBS_20180716_259	C68.1
RES_DBS_20180716_260	C68.1
RES_DBS_20180716_261	C68.1
RES_DBS_20180716_262	C116.1
RES_DBS_20180716_263	C116.1
RES_DBS_20180716_264	C116.1
RES_DBS_20180716_265	C93.1
RES_DBS_20180716_266	C93.1
RES_DBS_20180716_267	C93.1
RES_DBS_20180716_268	C82.1
RES_DBS_20180716_269	C82.1
RES_DBS_20180716_270	C82.1
RES_DBS_20180716_271	C121.1
RES_DBS_20180716_272	C121.1
RES_DBS_20180716_273	C121.1
RES_DBS_20180716_274	C101.1
RES_DBS_20180716_275	C101.1
RES_DBS_20180716_276	C101.1
